TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS,MOTOR VELOCITY mRPM,TORQUE ACTUAL (%%),Ref Torque [mNm]
6605395,1849804,162491616,2775,0,-0.84375
6608395,1849804,162491616,2775,0,-0.84375
6609395,1849804,162491616,2775,3,-0.84375
6610395,1849804,162491616,2775,0,-0.84375
6611395,1849804,162491616,2775,0,-0.84375
6612395,1849804,162491616,2775,3,-0.84375
6613395,1849804,162491616,2775,0,-0.84375
6614395,1849804,162491616,2775,3,-0.84375
6615395,1849804,162491616,2775,0,-0.84375
6616395,1849804,162491616,2775,0,-0.84375
6617395,1849804,162491616,2775,0,-0.84375
6618395,1849804,162491616,2775,3,-0.84375
6619395,1849804,162491616,2775,0,-0.84375
6620396,1849804,162491616,2775,0,-0.84375
6621646,1849804,162491616,2775,0,-0.84375
6622395,1849804,162491616,2775,0,-0.84375
6623395,1849804,162491616,2775,0,-0.84375
6624395,1849804,162491616,2775,0,-0.84375
6625395,1849804,162491616,2775,0,-0.84375
6626395,1849804,162491616,2775,0,-0.84375
6627395,1849804,162491616,2775,0,-0.84375
6628395,1849804,162491616,2775,0,-0.84375
6629395,1849804,162491616,2775,0,-0.84375
6630395,1849804,162491616,2775,0,-0.84375
6631395,1849804,162491616,2775,0,-0.84375
6632395,1849804,162491616,2775,0,-0.84375
6633395,1849804,162491616,2775,0,-0.84375
6634395,1849804,162491616,2775,0,-0.84375
6635395,1849804,162491616,2775,0,-0.84375
6636395,1849804,162491616,2775,0,-0.84375
6637395,1849804,162491616,2775,3,-0.84375
6638395,1849804,162491616,2775,3,-0.84375
6639395,1849804,162491616,2775,0,-0.84375
6640395,1849804,162491616,2775,0,-0.84375
6641395,1849804,162491616,2775,0,-0.84375
6642395,1849804,162491616,2775,0,-0.84375
6643395,1849804,162491616,2775,0,-0.84375
6644395,1849804,162491616,2775,0,-0.84375
6645645,1849804,162491616,2775,0,-0.84375
6647395,1849804,162491616,2775,0,-0.84375
6648395,1849804,162491616,2775,3,-0.84375
6649395,1849804,162491616,2775,0,-0.84375
6650395,1849804,162491616,2775,3,-0.84375
6651395,1849804,162491616,2775,0,-0.84375
6652395,1849804,162491616,2775,0,-0.84375
6653395,1849804,162491616,2775,3,-0.84375
6654395,1849804,162491616,2775,0,-0.84375
6655395,1849804,162491616,2775,0,-0.84375
6656395,1849804,162491616,2775,0,-0.84375
6657395,1849804,162491616,2775,0,-0.84375
6658395,1849804,162491616,2775,0,-0.84375
6659395,1849804,162491616,2775,0,-0.84375
6660395,1849804,162491616,2775,3,-0.84375
6661395,1849804,162491616,2775,0,-0.84375
6662395,1849804,162491616,2775,0,-0.84375
6663395,1849804,162491616,2775,0,-0.84375
6664395,1849804,162491616,2775,3,-0.84375
6665395,1849804,162491616,2775,0,-0.84375
6666395,1849804,162491616,2775,0,-0.84375
6667395,1849804,162491616,2775,0,-0.84375
6668395,1849804,162491616,2775,0,-0.84375
6669395,1849804,162491616,2775,0,-0.84375
6670395,1849804,162491616,2775,0,-0.84375
6671395,1849804,162491616,2775,0,-0.84375
6672395,1849804,162491616,2775,0,-0.84375
6673395,1849804,162491616,2775,0,-0.84375
6674395,1849804,162491616,2775,0,-0.84375
6675395,1849804,162491616,2775,0,-0.84375
6676645,1849804,162491616,2775,0,-0.84375
6677395,1849804,162491616,2775,0,-0.84375
6678395,1849804,162491616,2775,0,-0.84375
6679395,1849804,162491616,2775,3,-0.84375
6680395,1849804,162491616,2775,0,-0.84375
6681395,1849804,162491616,2775,0,-0.84375
6682395,1849804,162491616,2775,3,-0.84375
6683395,1849804,162491616,2775,0,-0.84375
6684395,1849804,162491616,2775,0,-0.84375
6685395,1849804,162491616,2775,0,-0.84375
6686395,1849804,162491616,2775,0,-0.84375
6687395,1849804,162491616,2775,0,-0.84375
6688395,1849804,162491616,2775,0,-0.84375
6689395,1849804,162491616,2775,0,-0.84375
6690395,1849804,162491616,2775,0,-0.84375
6691645,1849804,162491616,2775,0,-0.84375
6692395,1849804,162491616,2775,0,-0.84375
6693395,1849804,162491616,2775,0,-0.84375
6694395,1849804,162491616,2775,0,-0.84375
6695395,1849804,162491616,2775,0,-0.84375
6696395,1849804,162491616,2775,0,-0.84375
6697395,1849804,162491616,2775,0,-0.84375
6698395,1849804,162491616,2775,-3,-0.84375
6699395,1849804,162491616,2775,0,-0.84375
6700395,1849804,162491616,2775,0,-0.84375
6701395,1849804,162491616,2775,0,-0.84375
6702395,1849804,162491616,2775,0,-0.84375
6703395,1849804,162491616,2775,6,-0.84375
6704395,1849804,162491616,2775,0,-0.84375
6705395,1849804,162491616,2775,0,-0.84375
6706395,1849804,162491616,2775,0,-0.84375
6707395,1849804,162491616,2775,0,-0.84375
6708395,1849804,162491616,2775,0,-0.84375
6709395,1849804,162491616,2775,3,-0.84375
6710395,1849804,162491616,2775,0,-0.84375
6711395,1849804,162491616,2775,0,-0.84375
6712395,1849804,162491616,2775,0,-0.84375
6713395,1849804,162491616,2775,0,-0.84375
6714395,1849804,162491616,2775,0,-0.84375
6715395,1849804,162491616,2775,3,-0.84375
6716395,1849804,162491616,2775,0,-0.84375
6717395,1849804,162491616,2775,0,-0.84375
6718395,1849804,162491616,2775,0,-0.84375
6719395,1849804,162491616,2775,0,-0.84375
6720395,1849804,162491616,2775,0,-0.84375
6721395,1849804,162491616,2775,0,-0.84375
6722395,1849804,162491616,2775,0,-0.84375
6723395,1849804,162491616,2775,3,-0.84375
6724395,1849804,162491616,2775,0,-0.84375
6725395,1849804,162491616,2775,0,-0.84375
6726395,1849804,162491616,2775,0,-0.84375
6727395,1849804,162491616,2775,3,-0.84375
6728395,1849804,162491616,2775,0,-0.84375
6729395,1849804,162491616,2775,0,-0.84375
6730395,1849804,162491616,2775,0,-0.84375
6731395,1849804,162491616,2775,0,-0.84375
6732395,1849804,162491616,2775,0,-0.84375
6733395,1849804,162491616,2775,0,-0.84375
6735895,1849804,162491616,2775,0,-0.84375
6737395,1849804,162491616,2775,-3,-0.84375
6738395,1849804,162491616,2775,0,-0.84375
6739395,1849804,162491616,2775,0,-0.84375
6740395,1849804,162491616,2775,0,-0.84375
6741395,1849804,162491616,2775,0,-0.84375
6742395,1849804,162491616,2775,3,-0.84375
6743395,1849804,162491616,2775,0,-0.84375
6744395,1849804,162491616,2775,3,-0.84375
6745395,1849804,162491616,2775,0,-0.84375
6746395,1849808,162491616,2775,0,-0.84375
6747395,1849808,162491616,2775,0,-0.84375
6748395,1849808,162491616,2775,0,-0.84375
6749395,1849808,162491616,2775,0,-0.84375
6750395,1849808,162491616,2775,0,-0.84375
6751395,1849808,162491616,2775,0,-0.84375
6752395,1849808,162491616,2775,0,-0.84375
6753395,1849808,162491616,2775,0,-0.84375
6754395,1849808,162491609,2775,0,-0.84375
6755395,1849808,162491609,2775,3,-0.84375
6756446,1849808,162491609,2775,0,-0.84375
6757395,1849808,162491609,2775,0,-0.84375
6758396,1849808,162491609,2775,0,-0.84375
6759395,1849808,162491609,2775,0,-0.84375
6760395,1849808,162491609,438,0,-0.84375
6761645,1849808,162491609,438,0,-0.84375
6762395,1849808,162491609,438,0,-0.84375
6763395,1849808,162491609,438,0,-0.84375
6764395,1849808,162491609,438,3,-0.84375
6765395,1849808,162491609,438,0,-0.84375
6766395,1849808,162491609,438,0,-0.84375
6767395,1849808,162491609,438,-3,-0.84375
6768395,1849808,162491609,438,6,-0.84375
6769395,1849808,162491609,438,0,-0.84375
6770395,1849808,162491609,438,3,-0.84375
6771395,1849808,162491609,438,3,-0.84375
6772395,1849808,162491609,438,0,-0.84375
6773431,1849808,162491609,438,0,-0.84375
6774432,1849808,162491609,438,0,-0.84375
6775432,1849808,162491609,438,0,-0.84375
6776432,1849808,162491609,438,0,-0.84375
6777432,1849808,162491609,438,0,-0.84375
6778432,1849808,162491609,438,0,-0.84375
