TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS
38888452,1047689,81450016
38890452,1047689,81450016
38891452,1047689,81450016
38892452,1047689,81450016
38893952,1047689,81450016
38894452,1047689,81450016
38895702,1047689,81450016
38896452,1047689,81450016
38897452,1047689,81450016
38898452,1047689,81450016
38899452,1047689,81450016
38900452,1047689,81450016
38901452,1047689,81450016
38902452,1047689,81450016
38903452,1047689,81450016
38904452,1047689,81450016
38905452,1047689,81450016
38906452,1047689,81450016
38907452,1047689,81450016
38908452,1047689,81450016
38909452,1047689,81450016
38910452,1047689,81450016
38911452,1047689,81450016
38912452,1047689,81450016
38913452,1047689,81450016
38914452,1047689,81450016
38915452,1047689,81450016
38916452,1047689,81450016
38917452,1047689,81450016
38918452,1047689,81450016
38919452,1047689,81450016
38920452,1047689,81450016
38921452,1047689,81450016
38922452,1047689,81450016
38923452,1047689,81450016
38924452,1047689,81450016
38925452,1047689,81450016
38926452,1047689,81450016
38927452,1047689,81450016
38928452,1047689,81450016
38929452,1047689,81450016
38930452,1047689,81450016
38931452,1047689,81450016
38932452,1047689,81450016
38933452,1047689,81450016
38934452,1047689,81450016
38935452,1047689,81450016
38936452,1047689,81450016
38937452,1047689,81450016
38938452,1047689,81450016
38939452,1047689,81450016
38940452,1047689,81450016
38941702,1047689,81450016
38943452,1047689,81450016
38944452,1047689,81450016
38945702,1047689,81450016
38947452,1047689,81450016
38948702,1047689,81450016
38950452,1047689,81450016
38951452,1047689,81450016
38952452,1047689,81450016
38954452,1047689,81450016
38955702,1047689,81450016
38957452,1047689,81450016
38958452,1047689,81450016
38959452,1047689,81450016
38960452,1047689,81450016
38961452,1047689,81450016
38962452,1047689,81450016
38963452,1047689,81450016
38964452,1047689,81450016
38965452,1047689,81450016
38966452,1047689,81450016
38967452,1047689,81450016
38968452,1047689,81450016
38969452,1047689,81450016
38970452,1047689,81450016
38971702,1047689,81450016
38973452,1047689,81450016
38974452,1047689,81450016
38975452,1047689,81450016
38976452,1047689,81450016
38977452,1047689,81450016
38978452,1047689,81450016
38979452,1047689,81450016
38980452,1047689,81450016
38981452,1047689,81450016
38982452,1047689,81450016
38983452,1047689,81450016
38984452,1047689,81450016
38985452,1047689,81450016
38986452,1047689,81450016
38987452,1047689,81450016
38988452,1047689,81450016
38989452,1047689,81450016
38990452,1047689,81450016
38991452,1047689,81450016
38992452,1047689,81450016
38994452,1047689,81450016
38995452,1047689,81450016
38996452,1047689,81450016
38997452,1047689,81450016
38998452,1047689,81450016
39000452,1047689,81450016
39001452,1047689,81450016
39002452,1047689,81450016
39003452,1047689,81450016
39004452,1047689,81450016
39005452,1047689,81450016
39006452,1047689,81450016
39007452,1047689,81450016
39008452,1047689,81450016
39009452,1047689,81450016
39010452,1047689,81450016
39011452,1047689,81450016
39012452,1047689,81450016
39013452,1047688,81450016
39014452,1047688,81450016
39015452,1047688,81450016
39016452,1047688,81450016
39017452,1047688,81450016
39018452,1047688,81450016
39019452,1047688,81450016
39020452,1047688,81450016
39021452,1047688,81450016
39022452,1047688,81450016
39023452,1047688,81450018
39024452,1047688,81450018
39025452,1047688,81450018
39026452,1047688,81450018
39027452,1047688,81450018
39028452,1047688,81450018
39029452,1047688,81450018
39031452,1047688,81450018
39032452,1047688,81450018
39033702,1047688,81450018
39035452,1047688,81450018
39036702,1047688,81450018
39038452,1047688,81450018
39039452,1047688,81450018
39040452,1047688,81450018
39041452,1047688,81450018
39042452,1047688,81450018
39043452,1047688,81450018
39044452,1047688,81450018
39045452,1047688,81450018
39047452,1047688,81450018
39048702,1047688,81450018
39050952,1047688,81450018
39052452,1047688,81450018
39053452,1047688,81450018
39054452,1047688,81450018
39055452,1047688,81450018
39056452,1047688,81450018
39057452,1047688,81450018
39058452,1047688,81450018
39059452,1047688,81450018
39060452,1047688,81450018
39061452,1047688,81450018
39062452,1047688,81450018
39063452,1047688,81450018
39064452,1047688,81450018
39065452,1047688,81450018
39066452,1047688,81450018
39067452,1047688,81450018
39068452,1047688,81450018
39069452,1047688,81450018
39070452,1047688,81450018
39071452,1047688,81450018
39072452,1047688,81450018
39073452,1047688,81450018
39074452,1047688,81450018
39075452,1047688,81450018
39076452,1047688,81450018
39077496,1047688,81450018
39078452,1047688,81450018
39079452,1047688,81450018
39080452,1047688,81450018
39081452,1047688,81450018
39082452,1047688,81450018
39083452,1047688,81450018
39084452,1047688,81450018
39085452,1047688,81450018
39086452,1047688,81450018
39087452,1047688,81450018
39088452,1047688,81450018
39089452,1047688,81450018
39090452,1047688,81450018
39091452,1047688,81450018
39092452,1047688,81450018
39093452,1047688,81450018
39094452,1047688,81450018
39095452,1047688,81450018
39096488,1047686,81450018
39097489,1047686,81450018
39098489,1047686,81450018
39099489,1047686,81450018
39100489,1047686,81450018
39101489,1047686,81450018
39102489,1047686,81450018
39103489,1047686,81450018
39104488,1047686,81450018
39105488,1047686,81450018
39106489,1047686,81450018
39107489,1047686,81450018
39108488,1047686,81450018
39109488,1047686,81450018
39110488,1047686,81450018
39111488,1047686,81450018
39114989,1047686,81450018
39116489,1047686,81450018
39117739,1047686,81450018
39118489,1047686,81450018
39119488,1047686,81450018
39120489,1047686,81450018
39122489,1047686,81450018
39123489,1047686,81450018
39124488,1047686,81450018
39125488,1047686,81450018
39126489,1047686,81450018
39127488,1047686,81450018
39128488,1047686,81450018
39129488,1047686,81450018
39130489,1047686,81450018
39131488,1047686,81450018
39132489,1047686,81450018
39133488,1047686,81450018
39134488,1047686,81450018
39135489,1047686,81450018
39136489,1047686,81450018
39137489,1047686,81450018
39138489,1047686,81450018
39139489,1047686,81450018
39140489,1047686,81450018
39141489,1047686,81450018
39142489,1047686,81450018
39143489,1047686,81450018
39144489,1047686,81450018
39145489,1047686,81450018
39146489,1047686,81450018
39147489,1047686,81450018
